"","location_key","date","place_id","wikidata_id","country_code","country_name","subregion1_code","subregion1_name","iso_3166_1_alpha_2","iso_3166_1_alpha_3","aggregation_level","new_confirmed","new_deceased","cumulative_confirmed","cumulative_deceased","population","population_male","population_female","population_age_00_09","population_age_10_19","population_age_20_29","population_age_30_39","population_age_40_49","population_age_50_59","population_age_60_69","population_age_70_79","population_age_80_and_older","openstreetmap_id","latitude","longitude","elevation_m","area_sq_km","mobility_retail_and_recreation","mobility_grocery_and_pharmacy","mobility_parks","mobility_transit_stations","mobility_workplaces","mobility_residential","average_temperature_celsius","minimum_temperature_celsius","maximum_temperature_celsius","rainfall_mm","dew_point","relative_humidity","new_tested","cumulative_tested"
"27","ZA_EC",2020-01-27,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,15.594444,9.266667,25.95,0.1524,6.294444,54.583261,NA,NA
"28","ZA_EC",2020-01-28,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,19.3,9.538889,28.755556,0,6.844444,45.189743,NA,NA
"29","ZA_EC",2020-01-29,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,1,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,20.35,11.644444,30.383333,0,9.711111,51.753535,NA,NA
"30","ZA_EC",2020-01-30,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,20.144444,14.961111,28.655556,1.3462,13.716667,68.937092,NA,NA
"31","ZA_EC",2020-01-31,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,24.927778,16.138889,35.727778,1.4478,13.322222,49.746683,NA,NA
"32","ZA_EC",2020-02-01,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,23.522222,16.977778,34.255556,1.3716,14.477778,58.662934,NA,NA
"33","ZA_EC",2020-02-02,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.744444,18.411111,33.205556,1.1684,16.438889,68.165156,NA,NA
"34","ZA_EC",2020-02-03,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,24.518519,16.864198,32.425926,2.822222,14.055556,52.511051,NA,NA
"35","ZA_EC",2020-02-04,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,26.246914,18.037037,34.104938,0.310444,13.475309,46.033284,NA,NA
"36","ZA_EC",2020-02-05,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,24.761111,17.877778,34.538889,1.8288,12.983333,48.280877,NA,NA
